frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness
2000,0.0,0.3048,71.3,0.00266337
6300,9.9,0.1524,55.5,0.0208438
8000,7.2,0.1524,71.3,0.00752039
2500,0.0,0.3048,31.7,0.00331266
315,2.0,0.2286,31.7,0.00372371
1600,3.3,0.1016,55.5,0.002211
1600,0.0,0.1524,55.5,0.00172668
5000,0.0,0.1016,39.6,0.00146332
2500,11.2,0.0508,39.6,0.0150478
400,15.4,0.0508,31.7,0.0289853
400,9.5,0.0254,55.5,0.0043284
3150,0.0,0.0508,31.7,0.000812164
315,4.0,0.2286,39.6,0.00473801
2000,5.3,0.2286,71.3,0.0051942
2000,9.5,0.0254,39.6,0.00449821
2500,4.0,0.2286,39.6,0.00473801
1600,4.0,0.3048,71.3,0.00497773
5000,3.0,0.3048,39.6,0.00495741
4000,0.0,0.1016,39.6,0.00146332
400,7.2,0.1524,39.6,0.00909175
2000,4.2,0.0508,71.3,0.00142788
1000,0.0,0.0508,55.5,0.00076193
1600,0.0,0.3048,31.7,0.00331266
315,9.5,0.0254,39.6,0.00449821
800,8.4,0.0508,55.5,0.00544854
5000,15.4,0.0508,71.3,0.0264269
6300,15.4,0.0508,39.6,0.0282593
800,5.3,0.2286,39.6,0.00614329
1250,6.7,0.1016,31.7,0.00592927
315,4.0,0.3048,71.3,0.00497773
2000,0.0,0.1524,31.7,0.00209405
5000,0.0,0.0254,39.6,0.000428464
1000,0.0,0.0508,71.3,0.000740478
500,7.3,0.2286,39.6,0.0123481
4000,12.7,0.0254,71.3,0.0121808
8000,12.7,0.0254,39.6,0.0130253
315,4.0,0.2286,31.7,0.00509068
3150,0.0,0.3048,55.5,0.00283081
8000,0.0,0.0508,39.6,0.000791822
2500,0.0,0.3048,39.6,0.00310138
800,15.4,0.0508,39.6,0.0282593
1600,4.8,0.0254,55.5,0.000873218
800,5.4,0.1524,71.3,0.00401199
1600,15.4,0.0508,39.6,0.0282593
2000,0.0,0.1016,31.7,0.00150092
3150,7.3,0.2286,39.6,0.0123481
5000,4.8,0.0254,39.6,0.000907475
6300,15.4,0.0508,55.5,0.0271925
4000,0.0,0.0254,71.3,0.000400682
2000,5.4,0.1524,39.6,0.00485029
250,11.2,0.0508,71.3,0.014072
1000,0.0,0.1016,31.7,0.00150092
1250,12.7,0.0254,71.3,0.0121808
5000,0.0,0.3048,39.6,0.00310138
3150,0.0,0.2286,71.3,0.00214345
3150,2.0,0.2286,55.5,0.00313525
1250,15.4,0.0508,55.5,0.0271925
4000,3.3,0.1016,71.3,0.00202822
315,17.4,0.0254,31.7,0.0176631
1000,17.4,0.0254,55.5,0.0165706
4000,11.2,0.0508,39.6,0.0150478
6300,8.9,0.1016,39.6,0.0124596
500,2.7,0.1524,39.6,0.00294804
5000,4.0,0.3048,71.3,0.00497773
315,9.9,0.1524,31.7,0.0252785
8000,0.0,0.0508,71.3,0.000740478
400,19.7,0.0508,71.3,0.0341183
2500,9.5,0.0254,71.3,0.00420654
5000,4.0,0.2286,71.3,0.00400603
630,9.9,0.1524,39.6,0.0233328
1600,6.7,0.1016,71.3,0.00478288
800,0.0,0.0508,31.7,0.000812164
630,3.3,0.1016,39.6,0.00245138
200,9.5,0.0254,31.7,0.00461377
5000,7.2,0.1524,71.3,0.00752039
1250,6.7,0.1016,39.6,0.00578076
5000,8.4,0.0508,55.5,0.00544854
1000,15.4,0.0508,71.3,0.0264269
2000,0.0,0.3048,55.5,0.00283081
315,3.0,0.3048,31.7,0.00529514
500,4.0,0.2286,31.7,0.00509068
1250,2.0,0.2286,39.6,0.00346574
2500,3.3,0.1016,71.3,0.00202822
1250,4.8,0.0254,31.7,0.000930789
500,9.5,0.0254,31.7,0.00461377
1250,8.9,0.1016,39.6,0.0124596
3150,0.0,0.2286,55.5,0.00229336
630,3.0,0.3048,39.6,0.00495741
315,8.9,0.1016,39.6,0.0124596
2000,6.7,0.1016,55.5,0.0052139
315,9.9,0.1524,55.5,0.0208438
315,0.0,0.2286,55.5,0.00229336
5000,4.0,0.2286,55.5,0.0042862
2500,2.7,0.1524,39.6,0.00294804
250,5.3,0.2286,39.6,0.00614329
1250,0.0,0.1016,71.3,0.00121072
3150,0.0,0.3048,39.6,0.00310138
3150,8.4,0.0508,39.6,0.00566229
2000,3.3,0.1016,71.3,0.00202822
500,17.4,0.0254,55.5,0.0165706
630,5.4,0.1524,55.5,0.00433288
1600,7.3,0.2286,71.3,0.0104404
500,0.0,0.3048,31.7,0.00331266
8000,0.0,0.1524,31.7,0.00209405
250,4.0,0.3048,39.6,0.00579636
1250,0.0,0.1016,55.5,0.00131983
1250,0.0,0.2286,71.3,0.00214345
1600,0.0,0.3048,55.5,0.00283081
3150,5.4,0.1524,71.3,0.00401199
1000,0.0,0.3048,31.7,0.00331266
4000,0.0,0.2286,55.5,0.00229336
630,5.4,0.1524,31.7,0.00525474
400,5.4,0.1524,55.5,0.00433288
3150,0.0,0.0508,71.3,0.000740478
2500,17.4,0.0254,71.3,0.016104
2000,15.4,0.0508,39.6,0.0282593
250,17.4,0.0254,39.6,0.0172206
1250,2.7,0.1524,71.3,0.00243851
6300,9.5,0.0254,55.5,0.0043284
2500,6.7,0.1016,71.3,0.00478288
2000,4.0,0.2286,71.3,0.00400603
3150,17.4,0.0254,31.7,0.0176631
3150,15.4,0.0508,71.3,0.0264269
3150,8.9,0.1016,39.6,0.0124596
800,2.0,0.2286,71.3,0.00293031
315,0.0,0.3048,39.6,0.00310138
1600,4.0,0.2286,71.3,0.00400603
630,6.7,0.1016,31.7,0.00592927
8000,0.0,0.1524,71.3,0.0015988
3150,8.9,0.1016,71.3,0.0103088
2000,2.0,0.2286,71.3,0.00293031
4000,0.0,0.3048,39.6,0.00310138
800,8.4,0.0508,31.7,0.00580776
1600,0.0,0.1524,31.7,0.00209405
1000,17.4,0.0254,31.7,0.0176631
2000,8.9,0.1016,39.6,0.0124596
1250,0.0,0.0508,31.7,0.000812164
400,9.9,0.1524,31.7,0.0252785
2500,0.0,0.1016,71.3,0.00121072
5000,17.4,0.0254,55.5,0.0165706
8000,3.3,0.1016,71.3,0.00202822
6300,15.4,0.0508,71.3,0.0264269
500,4.0,0.3048,39.6,0.00579636
3150,9.5,0.0254,55.5,0.0043284
400,15.4,0.0508,39.6,0.0282593
200,17.4,0.0254,31.7,0.0176631
1600,0.0,0.0254,39.6,0.000428464
1000,4.8,0.0254,39.6,0.000907475
3150,4.0,0.3048,71.3,0.00497773
2000,8.9,0.1016,71.3,0.0103088
2000,5.4,0.1524,71.3,0.00401199
1000,6.7,0.1016,39.6,0.00578076
1250,3.0,0.3048,55.5,0.00452492
6300,7.2,0.1524,39.6,0.00909175
2500,0.0,0.1016,39.6,0.00146332
3150,0.0,0.3048,31.7,0.00331266
2500,4.0,0.3048,71.3,0.00497773
1250,7.3,0.2286,39.6,0.0123481
6300,0.0,0.2286,39.6,0.00253511
1250,6.7,0.1016,55.5,0.0052139
5000,0.0,0.3048,71.3,0.00266337
1000,12.7,0.0254,39.6,0.0130253
630,0.0,0.1524,39.6,0.00193287
800,2.0,0.2286,39.6,0.00346574
2500,4.8,0.0254,71.3,0.000848633
4000,0.0,0.1016,55.5,0.00131983
3150,0.0,0.0254,39.6,0.000428464
800,6.7,0.1016,55.5,0.0052139
400,9.9,0.1524,39.6,0.0233328
5000,5.3,0.2286,71.3,0.0051942
4000,17.4,0.0254,31.7,0.0176631
6300,2.0,0.2286,39.6,0.00346574
2000,4.0,0.3048,71.3,0.00497773
3150,0.0,0.1524,31.7,0.00209405
500,9.9,0.1524,31.7,0.0252785
500,12.3,0.1016,71.3,0.0337792
3150,6.7,0.1016,71.3,0.00478288
1600,5.4,0.1524,31.7,0.00525474
1600,4.8,0.0254,31.7,0.000930789
8000,2.7,0.1524,71.3,0.00243851
1600,3.3,0.1016,71.3,0.00202822
800,4.0,0.3048,71.3,0.00497773
1000,7.3,0.2286,39.6,0.0123481
2000,9.5,0.0254,55.5,0.0043284
2500,8.9,0.1016,39.6,0.0124596
4000,0.0,0.0508,71.3,0.000740478
8000,0.0,0.1524,39.6,0.00193287
1250,0.0,0.2286,55.5,0.00229336
500,9.9,0.1524,55.5,0.0208438
400,4.0,0.3048,71.3,0.00497773
1250,8.4,0.0508,31.7,0.00580776
630,9.5,0.0254,31.7,0.00461377
630,0.0,0.2286,39.6,0.00253511
6300,0.0,0.0254,39.6,0.000428464
800,4.0,0.2286,71.3,0.00400603
800,4.0,0.2286,55.5,0.0042862
630,3.3,0.1016,55.5,0.002211
630,7.3,0.2286,39.6,0.0123481
3150,3.0,0.3048,39.6,0.00495741
2000,0.0,0.2286,39.6,0.00253511
250,15.4,0.0508,31.7,0.0289853
4000,2.0,0.2286,55.5,0.00313525
500,6.7,0.1016,39.6,0.00578076
2000,6.7,0.1016,71.3,0.00478288
630,7.3,0.2286,55.5,0.0111706
500,19.7,0.0508,71.3,0.0341183
4000,0.0,0.2286,31.7,0.0027238
630,9.9,0.1524,31.7,0.0252785
1000,0.0,0.3048,71.3,0.00266337
315,3.0,0.3048,39.6,0.00495741
2500,4.2,0.0508,71.3,0.00142788
315,6.7,0.1016,31.7,0.00592927
1000,9.5,0.0254,55.5,0.0043284
1000,3.3,0.1016,71.3,0.00202822
1000,0.0,0.1524,55.5,0.00172668
800,0.0,0.0508,55.5,0.00076193
3150,3.3,0.1016,55.5,0.002211
6300,4.0,0.2286,39.6,0.00473801
3150,9.9,0.1524,31.7,0.0252785
3150,4.2,0.0508,39.6,0.00152689
3150,9.5,0.0254,39.6,0.00449821
1000,9.9,0.1524,39.6,0.0233328
3150,9.9,0.1524,39.6,0.0233328
200,8.9,0.1016,39.6,0.0124596
2500,3.3,0.1016,39.6,0.00245138
2000,15.4,0.0508,71.3,0.0264269
1600,9.9,0.1524,31.7,0.0252785
630,12.7,0.0254,39.6,0.0130253
6300,5.4,0.1524,31.7,0.00525474
4000,0.0,0.0508,39.6,0.000791822
800,7.2,0.1524,39.6,0.00909175
6300,0.0,0.1016,55.5,0.00131983
3150,5.4,0.1524,55.5,0.00433288
315,17.4,0.0254,39.6,0.0172206
4000,5.4,0.1524,39.6,0.00485029
630,8.4,0.0508,31.7,0.00580776
5000,3.3,0.1016,39.6,0.00245138
3150,2.7,0.1524,71.3,0.00243851
5000,3.0,0.3048,71.3,0.00425727
4000,12.7,0.0254,39.6,0.0130253
1250,7.2,0.1524,71.3,0.00752039
2000,8.4,0.0508,39.6,0.00566229
4000,19.7,0.0508,71.3,0.0341183
4000,0.0,0.0254,31.7,0.000439472
5000,17.4,0.0254,71.3,0.016104
5000,0.0,0.2286,39.6,0.00253511
4000,7.3,0.2286,55.5,0.0111706
1600,15.4,0.0508,71.3,0.0264269
2000,0.0,0.0254,55.5,0.00041229
315,7.3,0.2286,39.6,0.0123481
1600,11.2,0.0508,71.3,0.014072
8000,3.3,0.1016,55.5,0.002211
500,17.4,0.0254,71.3,0.016104
800,9.9,0.1524,31.7,0.0252785
1250,9.9,0.1524,55.5,0.0208438
200,9.5,0.0254,39.6,0.00449821
630,8.4,0.0508,55.5,0.00544854
6300,0.0,0.0508,39.6,0.000791822
400,3.0,0.3048,55.5,0.00452492
315,15.4,0.0508,55.5,0.0271925
2500,7.3,0.2286,39.6,0.0123481
400,5.4,0.1524,71.3,0.00401199
5000,17.4,0.0254,39.6,0.0172206
6300,17.4,0.0254,55.5,0.0165706
2000,4.8,0.0254,31.7,0.000930789
1250,11.2,0.0508,39.6,0.0150478
1250,0.0,0.2286,39.6,0.00253511
1600,3.0,0.3048,31.7,0.00529514
2000,17.4,0.0254,55.5,0.0165706
8000,0.0,0.3048,39.6,0.00310138
2000,12.7,0.0254,39.6,0.0130253
2500,2.0,0.2286,71.3,0.00293031
6300,7.3,0.2286,71.3,0.0104404
6300,4.0,0.2286,71.3,0.00400603
1000,7.3,0.2286,31.7,0.0132672
3150,7.3,0.2286,55.5,0.0111706
500,9.9,0.1524,71.3,0.0193001
1600,3.3,0.1016,39.6,0.00245138
5000,17.4,0.0254,31.7,0.0176631
2500,9.9,0.1524,31.7,0.0252785
2500,3.3,0.1016,55.5,0.002211
1250,5.4,0.1524,55.5,0.00433288
3150,1.5,0.3048,71.3,0.00336729
1000,0.0,0.3048,55.5,0.00283081
1000,17.4,0.0254,39.6,0.0172206
1000,2.7,0.1524,39.6,0.00294804
200,7.3,0.2286,55.5,0.0111706
1600,0.0,0.2286,55.5,0.00229336
800,11.2,0.0508,71.3,0.014072
2000,0.0,0.2286,31.7,0.0027238
800,15.4,0.0508,71.3,0.0264269
500,17.4,0.0254,31.7,0.0176631
2000,0.0,0.0254,39.6,0.000428464
800,5.3,0.2286,71.3,0.0051942
2500,8.4,0.0508,71.3,0.00529514
1250,4.0,0.2286,55.5,0.0042862
1600,12.7,0.0254,39.6,0.0130253
1250,0.0,0.1524,39.6,0.00193287
4000,15.4,0.0508,55.5,0.0271925
1250,2.0,0.2286,31.7,0.00372371
500,12.7,0.0254,71.3,0.0121808
1600,0.0,0.2286,39.6,0.00253511
630,4.0,0.3048,39.6,0.00579636
1600,8.4,0.0508,55.5,0.00544854
800,7.3,0.2286,39.6,0.0123481
6300,4.2,0.0508,71.3,0.00142788
2500,0.0,0.1016,31.7,0.00150092
2000,7.2,0.1524,71.3,0.00752039
5000,12.7,0.0254,39.6,0.0130253
250,17.4,0.0254,71.3,0.016104
2000,0.0,0.1016,55.5,0.00131983
4000,0.0,0.2286,39.6,0.00253511
2000,0.0,0.3048,39.6,0.00310138
500,11.2,0.0508,39.6,0.0150478
1600,5.4,0.1524,71.3,0.00401199
4000,8.9,0.1016,39.6,0.0124596
2000,3.0,0.3048,71.3,0.00425727
3150,4.8,0.0254,71.3,0.000848633
1600,7.2,0.1524,71.3,0.00752039
630,11.2,0.0508,39.6,0.0150478
1250,2.0,0.2286,55.5,0.00313525
800,0.0,0.3048,55.5,0.00283081
4000,4.0,0.2286,39.6,0.00473801
3150,9.9,0.1524,71.3,0.0193001
1250,7.3,0.2286,55.5,0.0111706
2000,4.0,0.3048,39.6,0.00579636
800,15.4,0.0508,31.7,0.0289853
4000,0.0,0.3048,55.5,0.00283081
2000,9.9,0.1524,31.7,0.0252785
4000,3.3,0.1016,55.5,0.002211
4000,15.4,0.0508,39.6,0.0282593
1000,7.2,0.1524,71.3,0.00752039
6300,8.9,0.1016,71.3,0.0103088
1000,0.0,0.0508,31.7,0.000812164
4000,9.5,0.0254,55.5,0.0043284
2500,0.0,0.2286,55.5,0.00229336
6300,9.5,0.0254,39.6,0.00449821
3150,4.2,0.0508,71.3,0.00142788
2500,5.4,0.1524,71.3,0.00401199
2000,17.4,0.0254,31.7,0.0176631
5000,0.0,0.1524,31.7,0.00209405
800,19.7,0.0508,71.3,0.0341183
500,8.4,0.0508,31.7,0.00580776
630,2.0,0.2286,39.6,0.00346574
5000,0.0,0.3048,55.5,0.00283081
3150,0.0,0.1524,39.6,0.00193287
1000,6.7,0.1016,71.3,0.00478288
6300,2.0,0.2286,31.7,0.00372371
2500,9.5,0.0254,55.5,0.0043284
200,8.9,0.1016,71.3,0.0103088
800,7.3,0.2286,55.5,0.0111706
400,15.4,0.0508,55.5,0.0271925
3150,5.3,0.2286,71.3,0.0051942
3150,11.2,0.0508,71.3,0.014072
630,3.0,0.3048,31.7,0.00529514
2500,0.0,0.0254,55.5,0.00041229
630,0.0,0.1016,31.7,0.00150092
800,3.0,0.3048,71.3,0.00425727
3150,4.0,0.2286,31.7,0.00509068
1000,8.9,0.1016,39.6,0.0124596
800,0.0,0.1524,31.7,0.00209405
2500,3.0,0.3048,39.6,0.00495741
400,17.4,0.0254,55.5,0.0165706
4000,0.0,0.1016,71.3,0.00121072
3150,0.0,0.1016,31.7,0.00150092
2000,19.7,0.0508,71.3,0.0341183
1250,0.0,0.1016,31.7,0.00150092
